participant, y, burst
1, 4, 5
1, 4, 5
1, 4, 5
1, 4, 5
1, 4, 5
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 5, 6
1, 6, 7
1, 6, 7
1, 6, 7
1, 6, 7
1, 6, 7
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
1, 1, 1
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 2, 2
1, 3, 3
1, 3, 3
1, 3, 3
1, 3, 3
1, 3, 3
2, 4, 5
2, 4, 5
2, 4, 5
2, 4, 5
2, 4, 5
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 5, 6
2, 6, 7
2, 6, 7
2, 6, 7
2, 6, 7
2, 6, 7
2, 7, 7
2, 7, 7
2, 7, 7
2, 7, 7
2, 7, 7
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 8, 8
2, 9, 9
2, 9, 9
2, 9, 9
2, 9, 9
2, 9, 9
