adjustedPumps,perception
2.0777,35.6
10.5571,21.4
6.6279,33.2
7.2521,25
6.7566,21.8
4.7811,32.8
6.6153,27.6
7.0061,22.4
3.5243,33
1.9029,25.4
3.7525,28.6
7.5388,25.6
7.6022,27.4
5.2129,27.8
2.9111,27.8
5.6892,19
4.7085,40.4
2.6266,35
6.8233,18
2.9311,28.4
3.2068,28.6
3.9351,24.6
2.3295,32.4
2.2879,31.6
4.5596,26.8
3.2104,21.2
1.6282,35
5.7409,26.6
3.6268,32.6
4.3906,24
5.9052,24.2
5.8014,22.2
2.9447,25.2
3.7192,27.8
4.596,26.2
6.2558,28
0.0702,16.6
2.2671,27.2
3.9515,31.8
3.8629,28.8
4.5406,27.8
5.2296,31.4
10.5675,20.6
3.4164,24.2
