adjustedPumps,smoker
26.5294,1
40.0339,2
39.0517,1
53.7347,1
33.5522,1
35.6615,1
24.0882,1
44.3684,2
33.9394,1
13.963,1
28.1538,1
17.3026,1
36.0508,1
20.5395,1
38,2
40.6935,1
47.5686,1
43.8214,1
36.1091,1
33.5574,2
45.0893,2
51.1957,2
25.6515,2
26.3676,2
50.78,2
37.1935,2
54.0714,2
34.9649,1
52.1923,1
38.8852,1
60.0192,2
48.8333,2
43.9298,1
26.8841,1
28.029,1
46.5818,1
55.5,1
25.0417,1
38.0645,1
55.1556,1
35.9524,1
35.6769,1
34.3443,2
52.6731,2
35.6094,1
34.6508,1
35.623,2
61.7805,2
53.2308,2
35.6613,2
41.2951,1
51.5556,2
37.0536,2
54.1176,2
45.7358,2
39.3333,2
