participant, y, burst, z
1, 64, 64, 1
1, 33, 34, 2
1, 39, 39, 1
1, 29, 30, 1
1, 25, 26, 1
1, 21, 21, 1
1, 16, 17, 1
1, 10, 10, 2
1, 6, 7, 1
1, 10, 11, 1
1, 9, 10, 1
1, 13, 14, 1
1, 14, 15, 1
1, 34, 34, 1
1, 28, 29, 2
1, 25, 26, 1
1, 23, 24, 1
1, 31, 32, 1
1, 31, 32, 1
1, 13, 13, 2
1, 25, 26, 2
1, 33, 34, 2
1, 30, 30, 2
1, 28, 29, 2
1, 9, 9, 2
1, 25, 26, 2
1, 28, 29, 2
1, 17, 17, 1
1, 27, 28, 1
1, 14, 15, 1
1, 28, 29, 2
1, 28, 29, 2
1, 34, 35, 1
1, 47, 48, 1
1, 53, 54, 1
1, 21, 21, 1
1, 34, 35, 1
1, 10, 10, 1
1, 37, 38, 1
1, 16, 17, 1
1, 33, 34, 1
1, 18, 19, 1
1, 26, 26, 2
1, 34, 34, 2
1, 24, 25, 1
1, 30, 31, 1
1, 24, 25, 2
1, 37, 38, 2
1, 33, 34, 2
1, 13, 13, 2
1, 40, 41, 1
1, 21, 22, 2
1, 25, 26, 2
1, 31, 32, 2
1, 9, 9, 2
1, 25, 26, 2
1, 12, 13, 0
1, 17, 17, 0
1, 18, 19, 0
1, 22, 23, 0
1, 24, 25, 0
1, 32, 33, 0
1, 18, 19, 0
1, 24, 25, 0
1, 30, 31, 0
1, 21, 21, 0
1, 17, 18, 0
1, 10, 10, 0
1, 17, 18, 0
1, 26, 27, 0
1, 34, 35, 0
1, 31, 32, 0
1, 23, 24, 0
1, 34, 34, 0
1, 34, 35, 0
1, 25, 26, 0
1, 25, 26, 0
1, 35, 36, 0
1, 22, 23, 0
1, 13, 13, 0
1, 37, 38, 0
1, 33, 34, 0
1, 20, 21, 0
1, 21, 22, 0
1, 9, 9, 0
1, 30, 31, 0
1, 34, 35, 0
1, 17, 17, 0
1, 48, 49, 0
1, 21, 22, 0
2, 7, 8, 0
2, 11, 12, 0
2, 13, 14, 0
2, 16, 17, 0
2, 15, 16, 0
2, 5, 6, 0
2, 20, 21, 0
2, 10, 10, 0
2, 15, 16, 0
2, 19, 20, 0
2, 15, 16, 0
2, 7, 8, 0
2, 20, 21, 0
2, 15, 16, 0
2, 22, 23, 0
2, 27, 28, 0
2, 35, 36, 0
2, 31, 32, 0
2, 38, 39, 0
2, 13, 13, 0
2, 30, 31, 0
2, 31, 32, 0
2, 30, 30, 0
2, 26, 27, 0
2, 9, 9, 0
2, 32, 33, 0
2, 27, 28, 0
2, 17, 17, 0
2, 26, 27, 0
2, 34, 35, 0
2, 42, 43, 0
2, 50, 51, 0
2, 39, 39, 0
2, 50, 51, 0
2, 46, 47, 0
2, 21, 21, 0
2, 39, 40, 0
2, 10, 10, 0
2, 38, 39, 0
2, 32, 32, 0
2, 36, 37, 0
2, 43, 44, 0
2, 26, 26, 0
2, 34, 34, 0
2, 34, 35, 0
2, 46, 47, 0
2, 60, 61, 0
2, 45, 46, 0
2, 56, 57, 0
2, 13, 13, 0
2, 56, 57, 0
2, 70, 71, 0
2, 30, 30, 0
2, 60, 61, 0
2, 9, 9, 0
2, 64, 64, 0
2, 54, 55, 0
2, 17, 17, 0
2, 61, 62, 0
2, 52, 52, 0
2, 57, 58, 0
2, 69, 70, 0
2, 39, 39, 0
2, 58, 59, 0
2, 74, 75, 0
2, 21, 21, 0
2, 74, 75, 0
2, 10, 10, 0
2, 64, 64, 0
2, 32, 32, 0
2, 53, 54, 0
2, 70, 71, 0
2, 26, 26, 0
2, 34, 34, 0
2, 47, 47, 0
2, 45, 46, 0
2, 62, 63, 0
2, 56, 57, 0
2, 75, 75, 0
2, 13, 13, 0
2, 64, 64, 0
2, 45, 46, 0
2, 30, 30, 0
2, 46, 47, 0
2, 9, 9, 0
2, 57, 58, 0
2, 69, 70, 0
2, 17, 17, 0
2, 60, 61, 0
2, 44, 45, 0
3, 30, 31, 0
3, 45, 46, 0
3, 39, 39, 0
3, 27, 28, 0
3, 36, 37, 0
3, 21, 21, 0
3, 32, 33, 0
3, 10, 10, 0
3, 40, 41, 0
3, 32, 32, 0
3, 25, 26, 0
3, 24, 25, 0
3, 26, 26, 0
3, 34, 34, 0
3, 25, 26, 0
3, 24, 25, 0
3, 30, 31, 0
3, 20, 21, 0
3, 39, 40, 0
3, 13, 13, 0
3, 28, 29, 0
3, 27, 28, 0
3, 29, 30, 0
3, 26, 27, 0
3, 9, 9, 0
3, 32, 33, 0
3, 23, 24, 0
3, 17, 17, 0
3, 23, 24, 0
3, 24, 25, 0
3, 48, 49, 0
3, 42, 43, 0
3, 39, 39, 0
3, 23, 24, 0
3, 31, 32, 0
3, 21, 21, 0
3, 35, 36, 0
3, 10, 10, 0
3, 36, 37, 0
3, 32, 32, 0
3, 23, 24, 0
3, 24, 25, 0
3, 25, 26, 0
3, 26, 27, 0
3, 39, 40, 0
3, 45, 46, 0
3, 38, 39, 0
3, 46, 47, 0
3, 36, 37, 0
3, 13, 13, 0
3, 47, 48, 0
3, 94, 95, 0
3, 30, 30, 0
3, 78, 79, 0
3, 9, 9, 0
3, 64, 64, 0
3, 22, 23, 0
3, 17, 17, 0
3, 53, 54, 0
3, 52, 52, 0
3, 64, 64, 0
3, 45, 46, 0
3, 39, 39, 0
3, 38, 39, 0
3, 38, 39, 0
3, 21, 21, 0
3, 43, 44, 0
3, 10, 10, 0
3, 58, 59, 0
3, 32, 32, 0
3, 52, 53, 0
3, 48, 49, 0
3, 26, 26, 0
3, 34, 34, 0
3, 39, 40, 0
3, 41, 42, 0
3, 47, 48, 0
3, 57, 58, 0
3, 58, 59, 0
3, 13, 13, 0
3, 64, 64, 0
3, 39, 40, 0
3, 30, 30, 0
3, 85, 86, 0
3, 9, 9, 0
3, 64, 64, 0
3, 50, 51, 0
3, 17, 17, 0
3, 60, 61, 0
3, 47, 48, 0
4, 23, 24, 0
4, 50, 51, 0
4, 39, 39, 0
4, 44, 45, 0
4, 43, 44, 0
4, 21, 21, 0
4, 42, 43, 0
4, 10, 10, 0
4, 46, 47, 0
4, 32, 32, 0
4, 47, 48, 0
4, 56, 57, 0
4, 22, 23, 0
4, 34, 34, 0
4, 47, 47, 0
4, 39, 40, 0
4, 52, 53, 0
4, 53, 54, 0
4, 61, 62, 0
4, 13, 13, 0
4, 64, 64, 0
4, 58, 59, 0
4, 30, 30, 0
4, 54, 55, 0
4, 9, 9, 0
4, 64, 64, 0
4, 53, 54, 0
4, 17, 17, 0
4, 58, 59, 0
4, 52, 52, 0
4, 50, 51, 0
4, 53, 54, 0
4, 39, 39, 0
4, 56, 57, 0
4, 58, 59, 0
