participant, y, burst
1, 1, 1
1, 1, 13
1, 2, 7
1, 2, 5
1, 2, 18
1, 2, 8
1, 0, 5
1, 2, 3
1, 1, 1
1, 2, 4
1, 2, 30
1, 3, 40
1, 2, 2
1, 2, 2
1, 3, 27
1, 2, 12
1, 2, 19
1, 1, 5
1, 2, 23
1, 2, 3
1, 1, 1
1, 2, 7
1, 2, 4
1, 4, 8
1, 2, 17
1, 1, 2
1, 2, 4
1, 2, 17
1, 4, 5
1, 2, 14
1, 2, 2
1, 1, 1
1, 1, 15
1, 2, 8
1, 2, 13
1, 2, 29
1, 1, 16
1, 2, 6
1, 2, 2
1, 2, 3
1, 2, 21
1, 3, 31
1, 2, 4
1, 2, 24
1, 2, 21
1, 2, 5
1, 1, 1
1, 4, 7
1, 2, 4
1, 2, 17
2, 1, 1
2, 9, 13
2, 7, 7
2, 5, 5
2, 9, 18
2, 8, 8
2, 5, 5
2, 3, 3
2, 1, 1
2, 4, 4
2, 9, 30
2, 15, 40
2, 2, 2
2, 2, 2
2, 8, 27
2, 11, 12
2, 11, 19
2, 5, 5
2, 14, 23
2, 3, 3
2, 1, 1
2, 7, 7
2, 4, 4
2, 8, 8
2, 14, 17
2, 2, 2
2, 4, 4
2, 13, 17
2, 5, 5
2, 9, 14
2, 2, 2
2, 1, 1
2, 13, 15
2, 8, 8
2, 7, 13
2, 14, 29
2, 16, 16
2, 6, 6
2, 2, 2
2, 3, 3
2, 7, 21
2, 9, 31
2, 4, 4
2, 11, 24
2, 7, 21
2, 5, 5
2, 1, 1
2, 7, 7
2, 4, 4
2, 9, 17
3, 1, 1
3, 7, 13
3, 7, 7
3, 5, 5
3, 5, 18
3, 6, 8
3, 5, 5
3, 3, 3
3, 1, 1
3, 4, 4
3, 7, 30
3, 8, 40
3, 2, 2
3, 2, 2
3, 7, 27
3, 9, 12
3, 10, 19
3, 5, 5
3, 7, 23
3, 3, 3
3, 1, 1
3, 7, 7
3, 4, 4
3, 5, 8
3, 5, 17
3, 2, 2
3, 4, 4
3, 6, 17
3, 5, 5
3, 8, 14
3, 2, 2
3, 1, 1
3, 7, 15
3, 8, 8
3, 5, 13
3, 5, 29
3, 5, 16
3, 5, 6
3, 2, 2
3, 3, 3
3, 4, 21
3, 6, 31
3, 4, 4
3, 7, 24
3, 7, 21
3, 5, 5
3, 1, 1
3, 4, 7
3, 4, 4
3, 9, 17
4, 1, 1
4, 7, 13
4, 6, 7
4, 5, 5
4, 6, 18
4, 8, 8
4, 5, 5
4, 3, 3
4, 1, 1
4, 4, 4
4, 8, 30
4, 8, 40
4, 2, 2
4, 2, 2
4, 9, 27
4, 6, 12
4, 7, 19
4, 5, 5
4, 5, 23
