participant, y, burst, x
1, 1, 1, 3.560000e+01
1, 1, 13, 2.140000e+01
1, 2, 7, 3.320000e+01
1, 2, 5, 25
1, 2, 18, 2.180000e+01
1, 2, 8, 3.280000e+01
1, 0, 5, 2.760000e+01
1, 2, 3, 2.240000e+01
1, 1, 1, 33
1, 2, 4, 2.540000e+01
1, 2, 30, 2.860000e+01
1, 3, 40, 2.560000e+01
1, 2, 2, 2.740000e+01
1, 2, 2, 2.780000e+01
1, 3, 27, 2.780000e+01
1, 2, 12, 19
1, 2, 19, 4.040000e+01
1, 1, 5, 35
1, 2, 23, 18
1, 2, 3, 2.840000e+01
1, 1, 1, 2.860000e+01
1, 2, 7, 2.460000e+01
1, 2, 4, 3.240000e+01
1, 4, 8, 3.160000e+01
1, 2, 17, 2.680000e+01
1, 1, 2, 2.120000e+01
1, 2, 4, 35
1, 2, 17, 2.660000e+01
1, 4, 5, 3.260000e+01
1, 2, 14, 24
1, 2, 2, 2.420000e+01
1, 1, 1, 2.220000e+01
1, 1, 15, 2.520000e+01
1, 2, 8, 2.780000e+01
1, 2, 13, 2.620000e+01
1, 2, 29, 28
1, 1, 16, 1.660000e+01
1, 2, 6, 2.720000e+01
1, 2, 2, 3.180000e+01
1, 2, 3, 2.880000e+01
1, 2, 21, 2.780000e+01
1, 3, 31, 3.140000e+01
1, 2, 4, 2.060000e+01
1, 2, 24, 2.420000e+01
1, 2, 21, 0
1, 2, 5, 0
1, 1, 1, 0
1, 4, 7, 0
1, 2, 4, 0
1, 2, 17, 0
2, 1, 1, 0
2, 9, 13, 0
2, 7, 7, 0
2, 5, 5, 0
2, 9, 18, 0
2, 8, 8, 0
2, 5, 5, 0
2, 3, 3, 0
2, 1, 1, 0
2, 4, 4, 0
2, 9, 30, 0
2, 15, 40, 0
2, 2, 2, 0
2, 2, 2, 0
2, 8, 27, 0
2, 11, 12, 0
2, 11, 19, 0
2, 5, 5, 0
2, 14, 23, 0
2, 3, 3, 0
2, 1, 1, 0
2, 7, 7, 0
2, 4, 4, 0
2, 8, 8, 0
2, 14, 17, 0
2, 2, 2, 0
2, 4, 4, 0
2, 13, 17, 0
2, 5, 5, 0
2, 9, 14, 0
2, 2, 2, 0
2, 1, 1, 0
2, 13, 15, 0
2, 8, 8, 0
2, 7, 13, 0
2, 14, 29, 0
2, 16, 16, 0
2, 6, 6, 0
2, 2, 2, 0
2, 3, 3, 0
2, 7, 21, 0
2, 9, 31, 0
2, 4, 4, 0
2, 11, 24, 0
2, 7, 21, 0
2, 5, 5, 0
2, 1, 1, 0
2, 7, 7, 0
2, 4, 4, 0
2, 9, 17, 0
3, 1, 1, 0
3, 7, 13, 0
3, 7, 7, 0
3, 5, 5, 0
3, 5, 18, 0
3, 6, 8, 0
3, 5, 5, 0
3, 3, 3, 0
3, 1, 1, 0
3, 4, 4, 0
3, 7, 30, 0
3, 8, 40, 0
3, 2, 2, 0
3, 2, 2, 0
3, 7, 27, 0
3, 9, 12, 0
3, 10, 19, 0
3, 5, 5, 0
3, 7, 23, 0
3, 3, 3, 0
3, 1, 1, 0
3, 7, 7, 0
3, 4, 4, 0
3, 5, 8, 0
3, 5, 17, 0
3, 2, 2, 0
3, 4, 4, 0
3, 6, 17, 0
3, 5, 5, 0
3, 8, 14, 0
3, 2, 2, 0
3, 1, 1, 0
3, 7, 15, 0
3, 8, 8, 0
3, 5, 13, 0
3, 5, 29, 0
3, 5, 16, 0
3, 5, 6, 0
3, 2, 2, 0
3, 3, 3, 0
3, 4, 21, 0
3, 6, 31, 0
3, 4, 4, 0
3, 7, 24, 0
3, 7, 21, 0
3, 5, 5, 0
3, 1, 1, 0
3, 4, 7, 0
3, 4, 4, 0
3, 9, 17, 0
4, 1, 1, 0
4, 7, 13, 0
4, 6, 7, 0
4, 5, 5, 0
4, 6, 18, 0
4, 8, 8, 0
4, 5, 5, 0
4, 3, 3, 0
4, 1, 1, 0
4, 4, 4, 0
4, 8, 30, 0
4, 8, 40, 0
