participant, y, burst
1, 1, 1
1, 7, 13
1, 7, 7
1, 5, 5
1, 7, 18
1, 7, 8
1, 5, 5
1, 3, 3
1, 1, 1
1, 4, 4
1, 7, 30
1, 7, 40
1, 2, 2
1, 2, 2
1, 4, 27
1, 7, 12
1, 7, 19
1, 5, 5
1, 7, 23
1, 3, 3
1, 1, 1
1, 7, 7
1, 4, 4
1, 6, 8
1, 7, 17
1, 2, 2
1, 4, 4
1, 7, 17
1, 5, 5
1, 7, 14
1, 2, 2
1, 1, 1
1, 7, 15
1, 7, 8
1, 7, 13
1, 7, 29
1, 6, 16
1, 6, 6
1, 2, 2
1, 3, 3
1, 7, 21
1, 7, 31
1, 4, 4
1, 7, 24
1, 5, 21
1, 5, 5
1, 1, 1
1, 7, 7
1, 4, 4
1, 7, 17
2, 1, 1
2, 4, 13
2, 3, 7
2, 2, 5
2, 3, 18
2, 2, 8
2, 3, 5
2, 3, 3
2, 1, 1
2, 3, 4
2, 3, 30
2, 3, 40
2, 2, 2
2, 2, 2
2, 4, 27
2, 2, 12
2, 3, 19
2, 3, 5
2, 3, 23
2, 3, 3
2, 1, 1
2, 2, 7
2, 3, 4
2, 3, 8
2, 2, 17
2, 2, 2
2, 3, 4
2, 3, 17
2, 3, 5
2, 3, 14
2, 2, 2
2, 1, 1
2, 3, 15
2, 4, 8
2, 2, 13
2, 3, 29
2, 3, 16
2, 3, 6
2, 2, 2
2, 3, 3
2, 3, 21
2, 3, 31
2, 4, 4
2, 2, 24
2, 3, 21
2, 3, 5
2, 1, 1
2, 2, 7
2, 4, 4
2, 3, 17
3, 1, 1
3, 6, 13
3, 7, 7
3, 5, 5
3, 15, 18
3, 8, 8
3, 5, 5
3, 3, 3
3, 1, 1
3, 4, 4
3, 7, 30
3, 13, 40
3, 2, 2
3, 2, 2
3, 13, 27
3, 11, 12
3, 19, 19
3, 5, 5
3, 8, 23
3, 3, 3
3, 1, 1
3, 7, 7
3, 4, 4
3, 8, 8
3, 16, 17
3, 2, 2
3, 4, 4
3, 13, 17
3, 5, 5
3, 9, 14
3, 2, 2
3, 1, 1
3, 9, 15
3, 8, 8
3, 13, 13
3, 9, 29
3, 10, 16
3, 6, 6
3, 2, 2
3, 3, 3
3, 10, 21
3, 10, 31
3, 4, 4
3, 6, 24
3, 9, 21
3, 5, 5
3, 1, 1
3, 7, 7
3, 4, 4
3, 9, 17
4, 1, 1
4, 5, 13
4, 2, 7
4, 0, 5
4, 3, 18
4, 0, 8
4, 5, 5
4, 3, 3
4, 1, 1
4, 3, 4
4, 1, 30
4, 5, 40
4, 2, 2
4, 2, 2
4, 1, 27
4, 2, 12
4, 4, 19
4, 5, 5
4, 3, 23
4, 1, 3
4, 1, 1
4, 3, 7
4, 2, 4
4, 3, 8
4, 4, 17
4, 2, 2
4, 3, 4
4, 3, 17
4, 5, 5
4, 2, 14
4, 2, 2
4, 1, 1
4, 1, 15
4, 1, 8
4, 3, 13
4, 4, 29
4, 4, 16
4, 4, 6
4, 2, 2
4, 3, 3
4, 4, 21
4, 3, 31
4, 4, 4
4, 3, 24
4, 1, 21
4, 3, 5
4, 1, 1
4, 4, 7
4, 4, 4
4, 3, 17
