adjustedPumps,perception
2.0488,35.6
10.4737,21.4
6.4167,33.2
7.1667,25
6.6957,21.8
4.6333,32.8
6.48,27.6
6.5,22.4
3.2188,33
1.7692,25.4
3.4848,28.6
6.8636,25.6
7.3913,27.4
4.8214,27.8
2.7143,27.8
5.4615,19
4.5,40.4
2.5263,35
6.3333,18
2.6667,28.4
3.0882,28.6
3.8788,24.6
2.2821,32.4
2.1282,31.6
4.3636,26.8
3.1081,21.2
1.5952,35
5.4828,26.6
3.3548,32.6
4.1562,24
5.6,24.2
5.5,22.2
2.8571,25.2
3.6176,27.8
4.3871,26.2
5.9583,28
0.6809,16.6
2.1316,27.2
3.8,31.8
3.9688,28.8
4.3939,27.8
4.88,31.4
10.1667,20.6
3.3235,24.2
